RENE_FINAL;ABONO_OFERTADO;CONSUMO_SBIF;EDAD;SEXO_BIN;SCORE;DEUDA_PROM3;PROME_UTILIZACION_3MESES;PROME_LINEA_CREDITO_3MESES;PROME_CANT_INSTITU_3MESES;SUMA_MOROSA_3MESES;Deuda_Char_008;Pago_Char_008
0;175800;14401;51;1;449;8892204;0.91;3003;6;375;3;0
0;83010;6100;30;0;373;798132;1;374;6;1585;1;0
0;45780;16102;30;0;408;206155;1;163;7;1663;0;0
1;75174;7092;58;0;510;497761;0.6;873;4;145;6;18
0;22060;1616;27;1;469;97157;0.95;114;4;0;2;13
0;108350;27974;56;1;440;2248987;0.376666667;18270;5;927;10;9
0;0;5441;45;1;554;1144533;0.763333333;1653;3;0;8;23
0;53998;421;46;0;473;431053;0.343333333;120;1;0;9;12
1;;65;64;0;445;59439;1;0;1;10;1;7
0;79680;761;51;0;509;289566;0.38;471;1;0;4;23
1;8570;330;36;0;406;158412;0.79;0;2;350;3;0
1;62620;3736;67;0;425;3303074;1;99;3;81;3;1
0;0;807;87;1;531;848503;0.98;15;1;0;8;7
0;39280;10541;27;0;406;716989;0.99;8;4;2453;3;9
0;149361;27308;37;0;440;5296121;1;3066;7;2318;6;1
1;6370;390;24;1;420;118744;0.946666667;3;2;47;3;1
0;132560;11016;42;0;383;6496426;1;4;4;327;3;2
0;48060;390;33;0;426;378739;0.983333333;72;2;118;5;3
1;88940;8458;42;0;447;984130;0.6;6608;4;56;6;0
0;21480;413;58;0;434;420718;0.413333333;0;1;217;7;5
0;0;701;58;0;548;631605;0.893333333;77;1;0;6;23
0;32900;1539;44;0;483;315042;0.31;709;3;0;4;2
0;27320;7871;37;0;440;127620;0.253333333;20;2;33;3;9
0;0;1843;55;0;529;341989;0.386666667;1328;3;145;5;20
0;0;745;30;1;460;113840;0.74;78;3;0;0;4
0;0;5579;61;0;540;1508371;0.36;5909;3;0;6;19
0;0;1521;50;1;550;749944;0.483333333;603;1;0;9;16
0;0;940;79;0;534;378966;0.556666667;908;3;0;7;15
0;92270;6475;67;0;424;6529630;1;0;1;0;5;1
0;29260;2922;33;0;414;276669;0.55;741;3;253;3;0
0;0;8413;42;0;536;1817748;0.86;1694;2;0;7;7
1;257152;31407;45;1;509;4015414;0.996666667;5029;4;0;6;4
0;21210;379;60;0;449;92560;0.923333333;7;2;0;0;0
1;37580;3415;50;0;460;301911;0.99;0;4;367;5;8
0;25620;6128;66;1;411;657085;1;640;3;191;4;5
0;48350;3565;45;0;396;599642;0.986666667;0;2;744;2;0
0;16100;4776;49;0;448;294081;0.226666667;2526;2;385;4;14
0;243114;5984;62;0;463;866943;0.886666667;906;5;0;5;15
0;23712;2862;38;0;455;80439;0.266666667;2372;3;0;2;58
0;209694;4229;59;0;407;4370841;1;0;1;504;5;5
0;0;1207;75;0;522;482449;0.873333333;278;3;0;5;34
0;0;2451;49;1;496;89071;0.036666667;85769;2;0;0;-999
0;52830;319;57;0;450;318451;0.936666667;15;1;0;2;7
0;19315;392;57;1;548;294893;0.536666667;255;1;0;5;34
0;9503;278;57;0;443;265737;0.97;598;1;21;4;0
0;11550;274;41;0;417;102788;0.993333333;1;2;13;4;0
0;30390;1075;36;0;396;293301;1;0;2;3;1;0
0;83680;7283;51;1;473;5879190;0.976666667;63;3;51;6;2
0;19636;9547;45;1;478;936678;0.966666667;0;2;858;9;4
0;29966;10399;75;1;491;204154;0.983333333;0;4;1027;7;15
0;68740;1311;30;0;383;1285360;1;0;1;456;4;0
0;52991;16645;30;0;476;539205;0.303333333;0;4;2;10;11
1;36420;637;44;1;430;214569;1;52;3;8;4;8
0;0;13908;48;1;520;2756700;0.933333333;5312;3;0;4;2
0;95154;2110;64;0;468;407701;0.406666667;653;2;0;6;9
1;4490;7649;40;0;452;82662;0.343333333;0;3;347;7;14
0;29060;9716;39;0;405;543964;0.763333333;50;3;500;5;0
0;45150;448;41;0;491;444404;0.773333333;0;1;30;9;4
0;60638;8713;40;1;456;682699;0.476666667;2920;2;0;8;9
0;293560;10224;59;1;442;5831887;0.703333333;944;5;1402;9;3
1;19110;443;41;1;462;165780;0.33;2121;2;0;0;0
0;0;1340;58;0;499;426109;0.986666667;461;2;0;5;37
0;32738;2454;76;0;478;294544;0.32;125;3;0;8;14
0;79627;809;52;1;504;809202;0.91;347;1;0;8;10
1;21170;9507;39;0;430;306682;0.73;42;4;497;2;0
0;34540;8232;27;1;410;649598;0.7;10;5;725;4;0
0;634437;4621;67;0;478;4480965;0.996666667;18;1;0;2;9
0;4860;752;26;0;407;85489;0.856666667;26;3;499;2;1
0;140910;14620;74;0;490;1346763;0.766666667;1274;3;10976;7;6
0;34730;341;34;1;420;340639;1;0;1;4;2;2
